Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
39,AAPL,2015-07-22 00:00:00+00:00,125.22,125.5,121.99,121.99,115450607,115.3931603173,115.6511868697,112.4166397309,112.4166397309,115450607,0.0,1.0,126.761,127.56540913430436,44.96071916858392,0.13905738693276248
40,AAPL,2015-07-23 00:00:00+00:00,125.16,127.09,125.06,126.2,50999452,115.3378689132,117.1164090778,115.2457165731,116.2962532506,50999452,0.0,1.0,127.27000000000001,127.12794512688663,44.82896888089384,-0.04906425791000402
41,AAPL,2015-07-24 00:00:00+00:00,124.5,125.74,123.9,125.32,42162332,114.7296634683,115.872352486,114.1767494275,115.4853126574,42162332,0.0,1.0,127.39200000000001,126.65003244006981,43.32501535340529,-0.24854344679923202
42,AAPL,2015-07-27 00:00:00+00:00,122.77,123.61,122.12,123.09,44455540,113.135427984,113.9095076411,112.5364377731,113.4303154724,44455540,0.0,1.0,127.103,125.9444457867013,39.576968248463174,-0.5400038546548984
43,AAPL,2015-07-28 00:00:00+00:00,123.38,123.91,122.55,123.38,33618097,113.6975572588,114.1859646615,112.9326928357,113.6975572588,33618097,0.0,1.0,126.88000000000002,125.47811466890492,41.49873205289182,-0.7135411673092875
44,AAPL,2015-07-29 00:00:00+00:00,122.99,123.5,122.27,123.15,37011653,113.3381631323,113.8081400669,112.6746662833,113.4856068765,37011653,0.0,1.0,126.49699999999999,125.02567600829013,40.60944091825361,-0.8724830371404124
45,AAPL,2015-07-30 00:00:00+00:00,122.37,122.5699,121.71,122.32,33628268,112.7668186234,112.9510311513,112.1586131785,112.7207424534,33628268,0.0,1.0,125.883,124.54277851562705,39.17229802653392,-1.0365260059580663
46,AAPL,2015-07-31 00:00:00+00:00,121.3,122.6425,120.91,122.6,42884953,111.780788584,113.0179337503,111.4213944574,112.9787690057,42884953,0.0,1.0,125.051,123.95313515780285,36.75481228489068,-1.2385935626561206
47,AAPL,2015-08-03 00:00:00+00:00,118.44,122.57,117.52,121.5,69975968,109.1452316561,112.95112330370002,108.2974301269,111.9650932642,69975968,0.0,1.0,123.68800000000002,122.95068120331214,31.210447398535266,-1.6109417217482758
48,AAPL,2015-08-04 00:00:00+00:00,114.64,117.7,113.25,117.42,124138623,105.643442731,108.4633043391,104.3625252031,108.2052777867,124138623,0.0,1.0,122.077,121.43956717260888,25.66978096344218,-2.18744308033331
49,AAPL,2015-08-05 00:00:00+00:00,115.4,117.44,112.1,112.95,98384461,106.343800516,108.2237082548,103.3027732915,104.0860681827,98384461,0.0,1.0,121.095,120.34141583850955,28.407228866597592,-2.553563027027181
50,AAPL,2015-08-06 00:00:00+00:00,115.13,116.5,114.115,115.97,52903040,106.5741813663,107.8423706174,105.6346104979,107.3517572575,52903040,0.52,1.0,120.09200000000001,119.39385164917842,28.012528421954343,-2.8328471672913196
